time_passed,earth_x,earth_y,earth_z,force_factor,
4.690012,0.16415,-1.159403,0,0.65002,
4.700013,0.16503,-1.153433,0,0.656378,
4.710013,0.165899,-1.147386,0,0.662914,
4.720013,0.166757,-1.141262,0,0.669634,
4.730013,0.167603,-1.135062,0,0.676545,
4.740014,0.168438,-1.128783,0,0.683654,
4.750014,0.169261,-1.122427,0,0.690967,
4.760014,0.170073,-1.115992,0,0.698492,
4.770014,0.170872,-1.109478,0,0.706236,
4.780015,0.171659,-1.102885,0,0.714207,
4.790015,0.172434,-1.096212,0,0.722414,
4.800015,0.173196,-1.08946,0,0.730866,
4.810015,0.173946,-1.082626,0,0.739572,
4.820015,0.174682,-1.075712,0,0.748542,
4.830016,0.175406,-1.068716,0,0.757786,
4.840016,0.176115,-1.061638,0,0.767315,
4.850016,0.176811,-1.054478,0,0.77714,
4.860016,0.177493,-1.047235,0,0.787273,
4.870017,0.178161,-1.039908,0,0.797728,
4.880017,0.178815,-1.032497,0,0.808517,
4.890017,0.179454,-1.025001,0,0.819654,
4.900017,0.180078,-1.01742,0,0.831155,
4.910017,0.180687,-1.009754,0,0.843034,
4.920018,0.18128,-1.002001,0,0.85531,
4.930018,0.181858,-0.994161,0,0.867999,
4.940018,0.182419,-0.986233,0,0.881119,
4.950018,0.182965,-0.978218,0,0.894692,
4.960019,0.183493,-0.970113,0,0.908737,
4.970019,0.184005,-0.961919,0,0.923277,
4.980019,0.184499,-0.953634,0,0.938335,
4.990019,0.184976,-0.945259,0,0.953937,
5.00002,0.185435,-0.936792,0,0.97011,
5.01002,0.185876,-0.928232,0,0.98688,
5.02002,0.186298,-0.919579,0,1.00428,
5.03002,0.1867,-0.910832,0,1.022341,
5.04002,0.187084,-0.901991,0,1.041097,
5.050021,0.187448,-0.893053,0,1.060586,
5.060021,0.187791,-0.884019,0,1.080846,
5.070021,0.188114,-0.874888,0,1.10192,
5.080021,0.188415,-0.865659,0,1.123853,
5.090022,0.188695,-0.85633,0,1.146694,
5.100022,0.188953,-0.846901,0,1.170493,
5.110022,0.189188,-0.83737,0,1.195308,
5.120022,0.1894,-0.827738,0,1.221198,
5.130023,0.189589,-0.818002,0,1.248228,
5.140023,0.189753,-0.808162,0,1.276467,
5.150023,0.189892,-0.798216,0,1.305992,
5.160023,0.190007,-0.788163,0,1.336883,
5.170023,0.190095,-0.778003,0,1.36923,
5.180024,0.190156,-0.767733,0,1.403128,
5.190024,0.19019,-0.757353,0,1.43868,
5.200024,0.190196,-0.746861,0,1.476001,
5.210024,0.190173,-0.736256,0,1.515213,
5.220025,0.190121,-0.725536,0,1.55645,
5.230025,0.190038,-0.714701,0,1.599861,
5.240025,0.189924,-0.703747,0,1.645604,
5.250025,0.189778,-0.692675,0,1.693858,
5.260026,0.189598,-0.681481,0,1.744815,
5.270026,0.189385,-0.670165,0,1.798689,
5.280026,0.189136,-0.658725,0,1.855715,
5.290026,0.188851,-0.647158,0,1.916153,
5.300026,0.188529,-0.635464,0,1.98029,
5.310027,0.188168,-0.623639,0,2.048446,
5.320027,0.187767,-0.611682,0,2.120978,
5.330027,0.187325,-0.59959,0,2.19828,
5.340027,0.18684,-0.587362,0,2.280797,
5.350028,0.186311,-0.574994,0,2.369026,
5.360028,0.185736,-0.562485,0,2.463525,
5.370028,0.185114,-0.549831,0,2.564926,
5.380028,0.184442,-0.537031,0,2.673942,
5.390028,0.183718,-0.524081,0,2.791381,
5.400029,0.182941,-0.510977,0,2.918166,
5.410029,0.182108,-0.497718,0,3.055351,
5.420029,0.181216,-0.484299,0,3.204143,
5.430029,0.180264,-0.470717,0,3.365935,
5.44003,0.179248,-0.456968,0,3.542336,
5.45003,0.178164,-0.443049,0,3.735218,
5.46003,0.177011,-0.428955,0,3.946763,
5.47003,0.175783,-0.414681,0,4.179533,
5.480031,0.174478,-0.400224,0,4.43655,
5.490031,0.17309,-0.385577,0,4.721395,
5.500031,0.171615,-0.370737,0,5.038347,
5.510031,0.170047,-0.355696,0,5.392538,
5.520031,0.168381,-0.34045,0,5.790176,
5.530032,0.16661,-0.324991,0,6.238823,
5.540032,0.164726,-0.309312,0,6.747758,
5.550032,0.162722,-0.293407,0,7.328468,
5.560032,0.160587,-0.277268,0,7.995295,
5.570033,0.158312,-0.260885,0,8.766316,
5.580033,0.155884,-0.24425,0,9.664556,
5.590033,0.153289,-0.227354,0,10.719638,
5.600033,0.15051,-0.210185,0,11.970126,
5.610034,0.147528,-0.192733,0,13.466805,
5.620034,0.144321,-0.174987,0,15.277345,
5.630034,0.140862,-0.156935,0,17.492987,
5.640034,0.137118,-0.138565,0,20.238049,
5.650034,0.133049,-0.119867,0,23.683266,
5.660035,0.128606,-0.100832,0,28.063618,
5.670035,0.12373,-0.081458,0,33.699421,
5.680035,0.118347,-0.06175,0,41.012417,
5.690035,0.112366,-0.04173,0,50.507896,
5.700036,0.105681,-0.021448,0,62.641827,
5.710036,0.098178,-0.001,0,77.396591,
5.720036,0.089758,0.019457,0,93.362221,
5.730036,0.080381,0.039706,0,106.696953,
5.740036,0.070104,0.059511,0,111.97258,
5.750037,0.05908,0.078682,0,106.432289,
5.760037,0.047508,0.097122,0,92.961868,
5.770037,0.035569,0.114814,0,76.990776,
5.780037,0.023409,0.131791,0,62.294384,
5.790038,0.011132,0.148106,0,50.231705,
5.800038,-0.001191,0.163817,0,40.79892,
5.810038,-0.01351,0.178978,0,33.535236,
5.820038,-0.025791,0.19364,0,27.936615,
5.830039,-0.038012,0.207844,0,23.58396,
